时间,   纬度,    经度,     速度／卫星个数,    方向／海拔,    日期
GPGGA格式 01时33分28秒, 40度47.618分, 111度141.722分, 09个, 1119米,

GPRMC格式 01时33分29秒, 40度47.618分, 111度141.722分, 001.5米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分29秒, 40度47.618分, 111度141.722分, 09个, 1115米,

GPRMC格式 01时33分30秒, 40度47.618分, 111度141.723分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分30秒, 40度47.618分, 111度141.723分, 09个, 1113米,

GPRMC格式 01时33分31秒, 40度47.617分, 111度141.726分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分31秒, 40度47.617分, 111度141.726分, 10个, 1101米,

GPRMC格式 01时33分32秒, 40度47.616分, 111度141.728分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分32秒, 40度47.616分, 111度141.728分, 10个, 1092米,

GPRMC格式 01时33分33秒, 40度47.617分, 111度141.734分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分33秒, 40度47.617分, 111度141.734分, 10个, 1071米,

GPRMC格式 01时33分34秒, 40度47.617分, 111度141.736分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分34秒, 40度47.617分, 111度141.736分, 10个, 1063米,

GPRMC格式 01时33分35秒, 40度47.617分, 111度141.736分, 000.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分35秒, 40度47.617分, 111度141.736分, 10个, 1062米,

GPRMC格式 01时33分36秒, 40度47.618分, 111度141.736分, 000.2米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分36秒, 40度47.618分, 111度141.736分, 10个, 1061米,

GPRMC格式 01时33分37秒, 40度47.618分, 111度141.736分, 000.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分37秒, 40度47.618分, 111度141.736分, 10个, 1060米,

GPRMC格式 01时33分38秒, 40度47.619分, 111度141.735分, 000.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分38秒, 40度47.619分, 111度141.735分, 10个, 1060米,

GPRMC格式 01时33分39秒, 40度47.620分, 111度141.735分, 000.1米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分39秒, 40度47.620分, 111度141.735分, 10个, 1059米,

GPRMC格式 01时33分40秒, 40度47.620分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分40秒, 40度47.620分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分41秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分41秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分42秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分42秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分43秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分43秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分44秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分44秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分45秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分45秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分46秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分46秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分47秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分47秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分48秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分48秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分49秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分49秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分50秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分50秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分51秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分51秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分52秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分52秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分53秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分53秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分54秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分54秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分55秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分55秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分56秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分56秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时33分57秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分57秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时33分58秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分58秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时33分59秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时33分59秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时34分00秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分00秒, 40度47.621分, 111度141.735分, 10个, 1058米,

GPRMC格式 01时34分01秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分01秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分02秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分02秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分03秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分03秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分04秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分04秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分05秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分05秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分06秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分06秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分07秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分07秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分08秒, 40度47.621分, 111度141.735分, 000.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分08秒, 40度47.621分, 111度141.735分, 09个, 1058米,

GPRMC格式 01时34分09秒, 40度47.622分, 111度141.734分, 000.6米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分09秒, 40度47.622分, 111度141.734分, 09个, 1058米,

GPRMC格式 01时34分10秒, 40度47.622分, 111度141.734分, 000.8米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分10秒, 40度47.622分, 111度141.734分, 09个, 1058米,

GPRMC格式 01时34分11秒, 40度47.623分, 111度141.734分, 001.0米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分11秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分12秒, 40度47.623分, 111度141.734分, 001.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分12秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分13秒, 40度47.623分, 111度141.734分, 001.7米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分13秒, 40度47.623分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分14秒, 40度47.624分, 111度141.734分, 002.3米／秒, 338.0, 17年05月10日,
GPGGA格式 01时34分14秒, 40度47.624分, 111度141.734分, 10个, 1058米,

GPRMC格式 01时34分15秒, 40度47.624分, 111度141.733分, 003.1米／秒, 339.1, 17年05月10日,
GPGGA格式 01时34分15秒, 40度47.624分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分16秒, 40度47.626分, 111度141.733分, 001.5米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分16秒, 40度47.626分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分17秒, 40度47.626分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分17秒, 40度47.626分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分18秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分18秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分19秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分19秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分20秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分20秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分21秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分21秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分22秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分22秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分23秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分23秒, 40度47.627分, 111度141.733分, 08个, 1058米,

GPRMC格式 01时34分24秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分24秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分25秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分25秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分26秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分26秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分27秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分27秒, 40度47.627分, 111度141.733分, 09个, 1058米,

GPRMC格式 01时34分28秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分28秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分29秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分29秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分30秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分30秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分31秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分31秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分32秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分32秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分33秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分33秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分34秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分34秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分35秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分35秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分36秒, 40度47.627分, 111度141.733分, 000.0米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分36秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分37秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分37秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分38秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分38秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分39秒, 40度47.627分, 111度141.733分, 000.4米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分39秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分40秒, 40度47.627分, 111度141.733分, 000.6米／秒, 337.5, 17年05月10日,
GPGGA格式 01时34分40秒, 40度47.627分, 111度141.733分, 10个, 1058米,

GPRMC格式 01时34分41秒, 40度47.627分, 111度141.733分, 000.6米／秒, 349.7, 17年05月10日,
GPGGA格式 01时34分41秒, 40度47.627分, 111度141.733分, 10个, 1057米,

GPRMC格式 01时34分42秒, 40度47.627分, 111度141.733分, 000.9米／秒, 348.5, 17年05月10日,
GPGGA格式 01时34分42秒, 40度47.627分, 111度141.733分, 10个, 1057米,

GPRMC格式 01时34分43秒, 40度47.627分, 111度141.733分, 000.9米／秒, 347.2, 17年05月10日,
GPGGA格式 01时34分43秒, 40度47.627分, 111度141.733分, 10个, 1057米,

GPRMC格式 01时34分44秒, 40度47.628分, 111度141.732分, 001.1米／秒, 348.9, 17年05月10日,
GPGGA格式 01时34分44秒, 40度47.628分, 111度141.732分, 10个, 1058米,

GPRMC格式 01时34分45秒, 40度47.628分, 111度141.732分, 001.5米／秒, 340.0, 17年05月10日,
GPGGA格式 01时34分45秒, 40度47.628分, 111度141.732分, 10个, 1057米,

GPRMC格式 01时34分46秒, 40度47.628分, 111度141.732分, 001.9米／秒, 341.0, 17年05月10日,
GPGGA格式 01时34分46秒, 40度47.628分, 111度141.732分, 10个, 1057米,

GPRMC格式 01时34分47秒, 40度47.629分, 111度141.731分, 002.5米／秒, 341.4, 17年05月10日,
GPGGA格式 01时34分47秒, 40度47.629分, 111度141.731分, 09个, 1057米,

GPRMC格式 01时34分48秒, 40度47.630分, 111度141.731分, 004.1米／秒, 339.1, 17年05月10日,
GPGGA格式 01时34分48秒, 40度47.630分, 111度141.731分, 09个, 1057米,

GPRMC格式 01时34分49秒, 40度47.631分, 111度141.729分, 005.1米／秒, 337.8, 17年05月10日,
GPGGA格式 01时34分49秒, 40度47.631分, 111度141.729分, 09个, 1057米,

GPRMC格式 01时34分50秒, 40度47.633分, 111度141.729分, 007.0米／秒, 337.0, 17年05月10日,
GPGGA格式 01时34分50秒, 40度47.633分, 111度141.729分, 09个, 1057米,

GPRMC格式 01时34分51秒, 40度47.635分, 111度141.727分, 007.4米／秒, 336.4, 17年05月10日,
GPGGA格式 01时34分51秒, 40度47.635分, 111度141.727分, 09个, 1058米,

GPRMC格式 01时34分52秒, 40度47.637分, 111度141.726分, 008.8米／秒, 335.9, 17年05月10日,
GPGGA格式 01时34分52秒, 40度47.637分, 111度141.726分, 09个, 1058米,

GPRMC格式 01时34分53秒, 40度47.640分, 111度141.724分, 009.7米／秒, 335.1, 17年05月10日,
GPGGA格式 01时34分53秒, 40度47.640分, 111度141.724分, 09个, 1058米,

GPRMC格式 01时34分54秒, 40度47.642分, 111度141.722分, 009.1米／秒, 334.8, 17年05月10日,
GPGGA格式 01时34分54秒, 40度47.642分, 111度141.722分, 09个, 1058米,

GPRMC格式 01时34分55秒, 40度47.645分, 111度141.721分, 008.4米／秒, 335.7, 17年05月10日,
GPGGA格式 01时34分55秒, 40度47.645分, 111度141.721分, 09个, 1058米,

GPRMC格式 01时34分56秒, 40度47.647分, 111度141.720分, 009.3米／秒, 337.2, 17年05月10日,
GPGGA格式 01时34分56秒, 40度47.647分, 111度141.720分, 09个, 1058米,

GPRMC格式 01时34分57秒, 40度47.649分, 111度141.719分, 008.8米／秒, 338.4, 17年05月10日,
GPGGA格式 01时34分57秒, 40度47.649分, 111度141.719分, 09个, 1058米,

GPRMC格式 01时34分58秒, 40度47.651分, 111度141.718分, 008.5米／秒, 340.7, 17年05月10日,
GPGGA格式 01时34分58秒, 40度47.651分, 111度141.718分, 09个, 1058米,

GPRMC格式 01时34分59秒, 40度47.654分, 111度141.717分, 010.0米／秒, 343.2, 17年05月10日,
GPGGA格式 01时34分59秒, 40度47.654分, 111度141.717分, 10个, 1058米,

